Brand,palm_products,palm_terms
CLINIQUE,34,cetyl palmitate; glyceryl stearate; isopropyl palmitate; palm kernel; sodium palmate; stearic acid
SHISEIDO,33,elaeis guineensis; glyceryl stearate; palm oil; stearic acid
MURAD,27,ascorbyl palmitate; cetyl palmitate; glyceryl stearate; isopropyl palmitate; stearic acid
SEPHORA COLLECTION,17,ascorbyl palmitate; cetyl palmitate; glyceryl stearate; palm kernel; stearic acid
KATE SOMERVILLE,17,ascorbyl palmitate; cetyl palmitate; elaeis guineensis; glyceryl stearate; stearic acid
ORIGINS,16,elaeis guineensis; glyceryl stearate; stearic acid
KIEHL'S SINCE 1851,16,glyceryl stearate; isopropyl palmitate; stearic acid
PETER THOMAS ROTH,15,ascorbyl palmitate; elaeis guineensis; glyceryl stearate; isopropyl palmitate; stearic acid
PERRICONE MD,14,ascorbyl palmitate; elaeis guineensis; glyceryl stearate; isopropyl palmitate; stearic acid
PHILOSOPHY,14,ascorbyl palmitate; cetyl palmitate; glyceryl stearate; stearic acid
FIRST AID BEAUTY,13,ascorbyl palmitate; glyceryl stearate; stearic acid
ALGENIST,13,cetyl palmitate; elaeis guineensis; glyceryl stearate; stearic acid
CLARINS,12,glyceryl stearate; stearic acid
FRESH,12,ascorbyl palmitate; glyceryl stearate; palm kernel; stearic acid
IT COSMETICS,12,ascorbyl palmitate; elaeis guineensis; glyceryl stearate; stearic acid
LANCÔME,10,glyceryl stearate; isopropyl palmitate; stearic acid
OLEHENRIKSEN,9,ascorbyl palmitate; elaeis guineensis; glyceryl stearate
AMOREPACIFIC,9,glyceryl stearate; isopropyl palmitate; stearic acid
DR. BRANDT SKINCARE,9,ascorbyl palmitate; cetyl palmitate; glyceryl stearate; isopropyl palmitate; stearic acid
DR. DENNIS GROSS SKINCARE,8,ascorbyl palmitate; glyceryl stearate; stearic acid
KORRES,8,ascorbyl palmitate; glyceryl stearate
LA MER,8,elaeis guineensis; glyceryl stearate; isopropyl palmitate; stearic acid
LANCER,8,cetyl palmitate; elaeis guineensis; glyceryl stearate; stearic acid
ESTÉE LAUDER,8,glyceryl stearate; stearic acid
LANEIGE,8,glyceryl stearate; isopropyl palmitate; stearic acid
CAUDALIE,8,cetyl palmitate; glyceryl stearate
BOBBI BROWN,7,ascorbyl palmitate; glyceryl stearate; isopropyl palmitate; stearic acid
DR. JART+,7,glyceryl stearate; stearic acid
GLAMGLOW,6,glyceryl stearate
BELIF,6,cetyl palmitate; glyceryl stearate; stearic acid
DERMADOCTOR,6,glyceryl stearate; stearic acid
TARTE,6,ascorbyl palmitate; elaeis guineensis; glyceryl stearate; stearic acid
CHARLOTTE TILBURY,5,ascorbyl palmitate; glyceryl stearate; stearic acid
SUPERGOOP!,5,ascorbyl palmitate; glyceryl stearate; stearic acid
REN CLEAN SKINCARE,5,ascorbyl palmitate; glyceryl stearate; palm oil
DRUNK ELEPHANT,5,ascorbyl palmitate; glyceryl stearate; stearic acid
SK-II,5,ascorbyl palmitate; stearic acid
SATURDAY SKIN,4,ascorbyl palmitate; glyceryl stearate; stearic acid
TATCHA,4,glyceryl stearate; stearic acid
YOUTH TO THE PEOPLE,4,glyceryl stearate; stearic acid
COOLA,4,ascorbyl palmitate; cetyl palmitate; glyceryl stearate; stearic acid
FARMACY,4,ascorbyl palmitate; elaeis guineensis; glyceryl stearate; stearic acid
ERBORIAN,3,stearic acid
HERBIVORE,3,elaeis guineensis; glyceryl stearate
TATA HARPER,3,cetyl palmitate
KLORANE,2,glyceryl stearate; isopropyl palmitate
BAREMINERALS,2,stearic acid
CANE + AUSTIN,2,ascorbyl palmitate; stearic acid
DR ROEBUCK’S,2,glyceryl stearate; stearic acid
JOSIE MARAN,2,glyceryl stearate; stearic acid
SMASHBOX,2,glyceryl stearate; stearic acid
BIOSSANCE,2,cetyl palmitate; stearic acid
NATURALLY SERIOUS,2,glyceryl stearate; palm oil; stearic acid
ANTHONY,2,ascorbyl palmitate; glyceryl stearate
MILK MAKEUP,2,stearic acid
MDSOLARSCIENCES,2,stearic acid
TOO COOL FOR SCHOOL,2,glyceryl stearate
L'OCCITANE,2,cetyl palmitate; glyceryl stearate; stearic acid
BOSCIA,2,stearic acid
BLACK UP,1,cetyl palmitate; glyceryl stearate
SUNDAY RILEY,1,glyceryl stearate; stearic acid
SUMMER FRIDAYS,1,glyceryl stearate
SKIN LAUNDRY,1,glyceryl stearate
TOM FORD,1,glyceryl stearate; stearic acid
TOO FACED,1,stearic acid
VOLITION BEAUTY,1,stearic acid
KENZOKI,1,stearic acid
EVE LOM,1,glyceryl stearate
OMOROVICZA,1,stearic acid
FARSÁLI,1,cetyl palmitate; glyceryl stearate
NURSE JAMIE,1,glyceryl stearate
NEOGEN DERMALOGY,1,glyceryl stearate; stearic acid
NARS,1,ascorbyl palmitate
GLOW RECIPE,1,palm kernel
MOROCCANOIL,1,glyceryl stearate
LAURA MERCIER,1,glyceryl stearate; stearic acid
ILIA,1,stearic acid
INDIE LEE,1,glyceryl stearate
JACK BLACK,1,ascorbyl palmitate
ERNO LASZLO,1,ascorbyl palmitate; glyceryl stearate
